student_id,student_name,class_name,section,date,subject,marks,max_marks,term
S1000,Learner 1,6,A,2026-06-13,Maths,55.2,100,Term 1
S1000,Learner 1,6,A,2026-06-13,Science,56.1,100,Term 1
S1000,Learner 1,6,A,2026-06-13,English,52.7,100,Term 1
S1000,Learner 1,6,A,2026-06-13,Social Studies,59.8,100,Term 1
S1000,Learner 1,6,A,2026-06-13,Hindi,85.0,100,Term 1
S1000,Learner 1,6,A,2026-07-07,Maths,45.8,100,Term 2
S1000,Learner 1,6,A,2026-07-07,Science,54.0,100,Term 2
S1000,Learner 1,6,A,2026-07-07,English,40.0,100,Term 2
S1000,Learner 1,6,A,2026-07-07,Social Studies,33.6,100,Term 2
S1000,Learner 1,6,A,2026-07-07,Hindi,51.3,100,Term 2
S1000,Learner 1,6,A,2026-07-31,Maths,65.0,100,Term 3
S1000,Learner 1,6,A,2026-07-31,Science,41.9,100,Term 3
S1000,Learner 1,6,A,2026-07-31,English,46.6,100,Term 3
S1000,Learner 1,6,A,2026-07-31,Social Studies,46.0,100,Term 3
S1000,Learner 1,6,A,2026-07-31,Hindi,37.3,100,Term 3
S1001,Learner 2,7,B,2026-06-13,Maths,50.3,100,Term 1
S1001,Learner 2,7,B,2026-06-13,Science,77.0,100,Term 1
S1001,Learner 2,7,B,2026-06-13,English,71.7,100,Term 1
S1001,Learner 2,7,B,2026-06-13,Social Studies,74.1,100,Term 1
S1001,Learner 2,7,B,2026-06-13,Hindi,66.9,100,Term 1
S1001,Learner 2,7,B,2026-07-07,Maths,77.6,100,Term 2
S1001,Learner 2,7,B,2026-07-07,Science,98,100,Term 2
S1001,Learner 2,7,B,2026-07-07,English,68.3,100,Term 2
S1001,Learner 2,7,B,2026-07-07,Social Studies,61.4,100,Term 2
S1001,Learner 2,7,B,2026-07-07,Hindi,88.4,100,Term 2
S1001,Learner 2,7,B,2026-07-31,Maths,78.1,100,Term 3
S1001,Learner 2,7,B,2026-07-31,Science,96.0,100,Term 3
S1001,Learner 2,7,B,2026-07-31,English,67.7,100,Term 3
S1001,Learner 2,7,B,2026-07-31,Social Studies,75.4,100,Term 3
S1001,Learner 2,7,B,2026-07-31,Hindi,57.1,100,Term 3
S1002,Learner 3,8,C,2026-06-13,Maths,43.3,100,Term 1
S1002,Learner 3,8,C,2026-06-13,Science,38.4,100,Term 1
S1002,Learner 3,8,C,2026-06-13,English,33.8,100,Term 1
S1002,Learner 3,8,C,2026-06-13,Social Studies,58.4,100,Term 1
S1002,Learner 3,8,C,2026-06-13,Hindi,55.3,100,Term 1
S1002,Learner 3,8,C,2026-07-07,Maths,19.2,100,Term 2
S1002,Learner 3,8,C,2026-07-07,Science,43.3,100,Term 2
S1002,Learner 3,8,C,2026-07-07,English,75.3,100,Term 2
S1002,Learner 3,8,C,2026-07-07,Social Studies,27.3,100,Term 2
S1002,Learner 3,8,C,2026-07-07,Hindi,46.2,100,Term 2
S1002,Learner 3,8,C,2026-07-31,Science,52.8,100,Term 3
S1002,Learner 3,8,C,2026-07-31,English,43.6,100,Term 3
S1002,Learner 3,8,C,2026-07-31,Social Studies,54.8,100,Term 3
S1002,Learner 3,8,C,2026-07-31,Hindi,44.8,100,Term 3
S1003,Learner 4,6,A,2026-06-13,Maths,67.6,100,Term 1
S1003,Learner 4,6,A,2026-06-13,Science,86.5,100,Term 1
S1003,Learner 4,6,A,2026-06-13,English,77.0,100,Term 1
S1003,Learner 4,6,A,2026-06-13,Social Studies,87.6,100,Term 1
S1003,Learner 4,6,A,2026-06-13,Hindi,88.7,100,Term 1
S1003,Learner 4,6,A,2026-07-07,Maths,37.7,100,Term 2
S1003,Learner 4,6,A,2026-07-07,Science,55.5,100,Term 2
S1003,Learner 4,6,A,2026-07-07,English,48.3,100,Term 2
S1003,Learner 4,6,A,2026-07-07,Social Studies,61.7,100,Term 2
S1003,Learner 4,6,A,2026-07-07,Hindi,40.6,100,Term 2
S1003,Learner 4,6,A,2026-07-31,Maths,18.2,100,Term 3
S1003,Learner 4,6,A,2026-07-31,Science,18.2,100,Term 3
S1003,Learner 4,6,A,2026-07-31,English,44.7,100,Term 3
S1003,Learner 4,6,A,2026-07-31,Social Studies,30.9,100,Term 3
S1003,Learner 4,6,A,2026-07-31,Hindi,52.4,100,Term 3
S1004,Learner 5,7,B,2026-06-13,Maths,83.6,100,Term 1
